제목	특징	수강 선생님	URL
7개월 직장병행 합격 수기	2023년 | 국가직 | 7급 | 외무영사직 | 수험기간: 1년 6개월 이상~2년 미만 | 특이사항: '직장 병행', '일반행정 7급 2차 탈락 후 재도전'	신동욱, 김춘호, 이상구, 유수진, 피티윤	https://gosi.hackers.com/html/mmove.htm?id=exam_passnote_new&m=view&idx=36753&searchlist=&search_opt=&search_txt=&cate=&page=92
반 직딩의 합격수기	2023년 | 지방직 | 9급 | 사회복지직 | 수험기간: 6개월 이상~1년 미만 | 특이사항: '30대 중반', '직장 병행(사기업 8년 이상)', '사회복지 자격증 보유'	신민숙, 비비안, 박정훈, 장재혁, 이중석	https://gosi.hackers.com/html/mmove.htm?id=exam_passnote_new&m=view&idx=35883&searchlist=&search_opt=&search_txt=&cate=&page=116
충청남도 지방직 일반행정 합격수기입니당	2023년 | 지방직 | 9급 | 행정직 | 수험기간: 1년 이상~1년 6개월 미만 | 특이사항: '직장 다니다 공시 전환'	비비안, 신민숙, 이중석, 신동욱, 송상호	https://gosi.hackers.com/html/mmove.htm?id=exam_passnote_new&m=view&idx=36102&searchlist=&search_opt=&search_txt=&cate=&page=107
해커스 교육행정 패스로 합격수기	2023년 | 지방직 | 9급 | 행정직 | 수험기간: 1년 6개월 이상~2년 미만 | 특이사항: '직장(조리직 공무원) 병행 후 퇴직', '영어 노베이스'	신민숙, 김송희, 장재혁	https://gosi.hackers.com/html/mmove.htm?id=exam_passnote_new&m=view&idx=35659&searchlist=&search_opt=&search_txt=&cate=&page=123
2024 국가직 9급 일반행정(경찰청) 최종합격수기!	2024년 | 국가직 | 9급 | 행정직 | 수험기간: 1년 이상~1년 6개월 미만 | 특이사항: '시각장애인(약시)', '직장 병행', '공백 후 재도전'	비비안, 피티윤	https://gosi.hackers.com/html/mmove.htm?id=exam_passnote_new&m=view&idx=38398&searchlist=&search_opt=&search_txt=&cate=&page=75
2023년 교육행정직(장애) 합격수기	2023년 | 지방직 | 9급 | 행정직 | 수험기간: 6개월 미만 | 특이사항: '장애인(지체 6급)', '맘시생', '육아 병행'	이중석, 황남기, 이이수	https://gosi.hackers.com/html/mmove.htm?id=exam_passnote_new&m=view&idx=35894&searchlist=&search_opt=&search_txt=&cate=&page=115
2023 국가직 9급 일반행정직 (전국/장애) 합격수기	2023년 | 국가직 | 9급 | 행정직 | 수험기간: 1년 6개월 이상~2년 미만 | 특이사항: '장애인 구분모집', '영어 강점'	신민숙, 이중석, 송상호	https://gosi.hackers.com/html/mmove.htm?id=exam_passnote_new&m=view&idx=35239&searchlist=&search_opt=&search_txt=&cate=&page=134
장애전형 합격했습니다 (1)	2023년 | 지방직 | 9급 | 간호/보건직 | 수험기간: 1년 이상~1년 6개월 미만 | 특이사항: '장애전형 응시', '영어 완전 노베이스'	비비안, 신민숙, 이중석	https://gosi.hackers.com/html/mmove.htm?id=exam_passnote_new&m=view&idx=35788&searchlist=&search_opt=&search_txt=&cate=&page=119
2023 지방직 교육행정직(장애) 최종합격후기	2023년 | 지방직 | 9급 | 행정직 | 수험기간: 3년 이상 | 특이사항: '장애인 전형', '4년 장기 수험'	신민숙, 김철용, 비비안, 이중석, 함수민, 황남기, 이이수, 피티윤	https://gosi.hackers.com/html/mmove.htm?id=exam_passnote_new&m=view&idx=35645&searchlist=&search_opt=&search_txt=&cate=&page=124
맘시생 일반행정 합격수기	2023년 | 국가직 | 9급 | 행정직 | 수험기간: 6개월 이상~1년 미만 | 특이사항: '육아휴직 중 수험', '배우자 귀농으로 경력단절', '영어 강점(토익 895)'	신민숙, 비비안, 이중석, 이명호, 서현, 장재혁	https://gosi.hackers.com/html/mmove.htm?id=exam_passnote_new&m=view&idx=35412&searchlist=&search_opt=&search_txt=&cate=&page=129
기본 개념 강의를 완벽하게 이해하는 방식으로 공부해서 합격했습니다!(맘시생)	2023년 | 지방직 | 9급 | 사회복지직 | 수험기간: 6개월 이상~1년 미만 | 특이사항: '40대 맘시생', '경력단절', '역사 전공', '임용 준비 경험', '사회복지사 2급'	신동욱, 이중석, 박정훈, 신민숙, 피티윤	https://gosi.hackers.com/html/mmove.htm?id=exam_passnote_new&m=view&idx=35938&searchlist=&search_opt=&search_txt=&cate=&page=113
[세무직9급]합격수기	2024년 | 국가직 | 9급 | 세무직 | 수험기간: 1년 이상~1년 6개월 미만 | 특이사항: '전문대졸', '경력단절', '육아병행'	김종국, 신동욱, 황남기, 서현	https://gosi.hackers.com/html/mmove.htm?id=exam_passnote_new&m=view&idx=39748&searchlist=&search_opt=&search_txt=&cate=&page=45
맘시생의 교육행정직 9급 합격수기	2024년 | 지방직 | 9급 | 행정직 | 수험기간: 2년 이상~3년 미만 | 특이사항: '맘시생', '경단녀', '40대', '면탈 후 재도전'	신민숙, 비비안, 이중석, 강서연, 장재혁, 신동욱	https://gosi.hackers.com/html/mmove.htm?id=exam_passnote_new&m=view&idx=38565&searchlist=&search_opt=&search_txt=&cate=&page=72
교육행정직 2023 (경기도) 해커스인강만 듣고 합격했습니다	2023년 | 지방직 | 9급 | 행정직 | 수험기간: 1년 6개월 이상~2년 미만	함수민, 신민숙, 이중석, 이이수	https://gosi.hackers.com/html/mmove.htm?id=exam_passnote_new&m=view&idx=36044&searchlist=&search_opt=&search_txt=&cate=&page=109
장수생 탈출~ 길잡이가 되어주신 박정훈 선생님의 단끝사 강의로 보호직 합격	2023년 | 국가직 | 9급 | 보호직 | 수험기간: 3년 이상 | 특이사항: '장수생(4년)', '직렬 변경(검찰→보건→보호직)', '수차례 불합격 경험'	이중석, 김대환, 신민숙, 박정훈	https://gosi.hackers.com/html/mmove.htm?id=exam_passnote_new&m=view&idx=35250&searchlist=&search_opt=&search_txt=&cate=&page=133
유튜브부터 끊어야 했습니다. 해커스와 함께 루틴대로!	2023년 | 지방직 | 9급 | 행정직 | 수험기간: 2년 이상~3년 미만 | 특이사항: '영어 전공', '장기 수험생(3년차)'	신민숙, 김철용, 이중석, 신동욱, 이이수, 강서연	https://gosi.hackers.com/html/mmove.htm?id=exam_passnote_new&m=view&idx=35505&searchlist=&search_opt=&search_txt=&cate=&page=128
중요한건 꺾이지 않는 마음	2023년 | 국가직 | 9급 | 행정직 | 수험기간: 3년 이상	신민숙, 피티윤	https://gosi.hackers.com/html/mmove.htm?id=exam_passnote_new&m=view&idx=35445&searchlist=&search_opt=&search_txt=&cate=&page=128
해커스 무제한 패스로 2024 지방직 합격했습니다!	2024년 | 지방직 | 9급 | 행정직 | 수험기간: 2년 이상~3년 미만 | 특이사항: '주민센터 아르바이트 중 공시 결심'	신민숙, 비비안, 이중석, 홍대겸, 서현	https://gosi.hackers.com/html/mmove.htm?id=exam_passnote_new&m=view&idx=39185&searchlist=&search_opt=&search_txt=&cate=&page=51
노베이스 6개월 단기 합격 후기(2023 교육행정직 최종합격 후기)	2023년 | 지방직 | 9급 | 행정직 | 수험기간: 6개월 이상~1년 미만	신민숙, 비비안, 이중석, 강서연, 이이수, 신동욱	https://gosi.hackers.com/html/mmove.htm?id=exam_passnote_new&m=view&idx=35855&searchlist=&search_opt=&search_txt=&cate=&page=117
2023 9급 교정직 합격수기	2023년 | 국가직 | 9급 | 교정직 | 수험기간: 6개월 미만 | 특이사항: '군 전역 후 도전', '재수생', '3개월 단기합격'	신민숙, 비비안, 이중석, 노신, 김나리	https://gosi.hackers.com/html/mmove.htm?id=exam_passnote_new&m=view&idx=35559&searchlist=&search_opt=&search_txt=&cate=&page=126
영어 과락에서 80점으로 합격!!	2023년 | 지방직 | 9급 | 시설직 | 수험기간: 2년 이상~3년 미만 | 특이사항: '영어 노베이스', '영어 과락 후 재도전'	비비안, 이중석, 신민숙	https://gosi.hackers.com/html/mmove.htm?id=exam_passnote_new&m=view&idx=36010&searchlist=&search_opt=&search_txt=&cate=&page=110
노베이스 일반행정직 합격수기	2023년 | 지방직 | 9급 | 행정직 | 수험기간: 2년 이상~3년 미만 | 특이사항: '전과목 노베이스', '영어 극노베이스(알파벳 수준)', '장기수험(3년)'	장재혁, 이중석, 송상호, 신민숙, 김우택	https://gosi.hackers.com/html/mmove.htm?id=exam_passnote_new&m=view&idx=35942&searchlist=&search_opt=&search_txt=&cate=&page=113
교정직 최합수기	2023년 | 국가직 | 9급 | 교정직 | 수험기간: 1년 이상~1년 6개월 미만 | 특이사항: '특성화고 출신', '노베이스'	신민숙, 김우택, 연미정, 이중석, 김대환, 노신	https://gosi.hackers.com/html/mmove.htm?id=exam_passnote_new&m=view&idx=35236&searchlist=&search_opt=&search_txt=&cate=&page=134
자존감 바닥 극복 후 합격한 후기!	2023년 | 지방직 | 9급 | 행정직 | 수험기간: 6개월 이상~1년 미만 | 특이사항: '체력 약점', '한능검 1급 보유', '자존감 극복'	신민숙, 김송희, 이중석, 장재혁, 서현	https://gosi.hackers.com/html/mmove.htm?id=exam_passnote_new&m=view&idx=35799&searchlist=&search_opt=&search_txt=&cate=&page=118
2023 교정직 최종합격수기	2023년 | 국가직 | 9급 | 교정직 | 수험기간: 6개월 미만 | 특이사항: '10년 이상 공부 공백', '코로나 직장 어려움', '건설·물류 알바 병행', '단기합격(4개월)'	양효주, 김철용, 노신, 김대환	https://gosi.hackers.com/html/mmove.htm?id=exam_passnote_new&m=view&idx=35296&searchlist=&search_opt=&search_txt=&cate=&page=131
23년 지방직 합격 수기	2023년 | 지방직 | 9급 | 시설직 | 수험기간: 6개월 미만 | 특이사항: '사범대 재학', '군복무 중 공부 시작'	김승범, 이석훈	https://gosi.hackers.com/html/mmove.htm?id=exam_passnote_new&m=view&idx=36040&searchlist=&search_opt=&search_txt=&cate=&page=109
세무직 단기 합격 해커스로 충분하다!	2023년 | 국가직 | 9급 | 세무직 | 수험기간: 6개월 이상~1년 미만 | 특이사항: '엇학기 졸업', '전공 성적 부진(C학점)'	신민숙, 비비안, 이중석, 김영서, 정윤돈	https://gosi.hackers.com/html/mmove.htm?id=exam_passnote_new&m=view&idx=35204&searchlist=&search_opt=&search_txt=&cate=&page=136
2023 경북 지방직 5개월 합격수기	2023년 | 지방직 | 9급 | 행정직 | 수험기간: 6개월 미만 | 특이사항: '단기합격', '수능 고득점 베이스'	신민숙, 비비안, 신동욱, 서현	https://gosi.hackers.com/html/mmove.htm?id=exam_passnote_new&m=view&idx=36188&searchlist=&search_opt=&search_txt=&cate=&page=103
이중석 선생님의 한국사 강의 덕분에 합격할 수 있었습니다.	2024년 | 국가직 | 9급 | 세무직 | 수험기간: 1년 6개월 이상~2년 미만 | 특이사항: '해외 거주 경험', '토익 990 영어 강점', '타 자격시험 준비 후 전환', '우울증 극복'	신민숙, 이중석, 신동욱, 서현	https://gosi.hackers.com/html/mmove.htm?id=exam_passnote_new&m=view&idx=38001&searchlist=&search_opt=&search_txt=&cate=&page=88
9개월 초시 단기 합격수기	2024년 | 국가직 | 7급 | 외무영사직 | 수험기간: 6개월 이상~1년 미만 | 특이사항: '어문계열 전공', '초시 단기합격(9개월)', '양성평등 추가합격'	조은정, 하윤조, 성인경, 김은기, 이상구, 피티윤	https://gosi.hackers.com/html/mmove.htm?id=exam_passnote_new&m=view&idx=39715&searchlist=&search_opt=&search_txt=&cate=&page=46
2023년 전남 지방직 9급 일반토목 합격했습니다.	2023년 | 지방직 | 9급 | 토목직 | 수험기간: 6개월 미만 | 특이사항: '단기합격(3-4개월)', '영어·국어·한국사 전반 약점'	신민숙, 비비안, 이중석	https://gosi.hackers.com/html/mmove.htm?id=exam_passnote_new&m=view&idx=35821&searchlist=&search_opt=&search_txt=&cate=&page=117
2023 국가직 일반행정 지역 구분모집 합격수기	2023년 | 국가직 | 9급 | 행정직 | 수험기간: 6개월 이상~1년 미만 | 특이사항: '지방대 공대 출신', '노베이스'	신민숙, 김송희, 김우택, 이중석, 서현, 장재혁	https://gosi.hackers.com/html/mmove.htm?id=exam_passnote_new&m=view&idx=35232&searchlist=&search_opt=&search_txt=&cate=&page=134
30세 직장인 퇴사 후 8개월, 지방직 9급 일반행정직 합격했습니다.	2023년 | 지방직 | 9급 | 행정직 | 수험기간: 6개월 이상~1년 미만 | 특이사항: '30세 직장인 퇴사 후 준비'	신민숙, 비비안, 이중석, 서현, 홍대겸, 신동욱, 피티윤	https://gosi.hackers.com/html/mmove.htm?id=exam_passnote_new&m=view&idx=35701&searchlist=&search_opt=&search_txt=&cate=&page=122
쌩 노베이스였지만 해커스를 믿고 따라가서 일행 합격할 수 있었습니다	2023년 | 지방직 | 9급 | 행정직 | 수험기간: 3년 이상 | 특이사항: '장수생(5년 2개월)', '3번째 필기 합격'	신민숙, 김철용, 이중석, 함수민, 조철현	https://gosi.hackers.com/html/mmove.htm?id=exam_passnote_new&m=view&idx=35771&searchlist=&search_opt=&search_txt=&cate=&page=119
40대 아줌마의 필기합격수기	2023년 | 서울시 | 9급 | 사회복지직 | 수험기간: 1년 이상~1년 6개월 미만 | 특이사항: '40대', '기혼', '육아 병행', '코로나로 직장 상실 후 공시 전환'	김우택, 이중석, 신민숙, 박정훈, 신동욱	https://gosi.hackers.com/html/mmove.htm?id=exam_passnote_new&m=view&idx=36672&searchlist=&search_opt=&search_txt=&cate=&page=93
워킹맘 교육행정직 합격했습니다.	2023년 | 지방직 | 9급 | 행정직 | 수험기간: 6개월 이상~1년 미만 | 특이사항: '워킹맘(40대)', '영어강사 재직 중', '사회복지직 전환', '늦은 나이 도전'	신민숙, 이중석, 김우택, 비비안, 이이수, 장재혁, 신동욱	https://gosi.hackers.com/html/mmove.htm?id=exam_passnote_new&m=view&idx=35765&searchlist=&search_opt=&search_txt=&cate=&page=120
2023년 고용노동직 최종합격수기	2023년 | 국가직 | 9급 | 행정직 | 수험기간: 6개월 이상~1년 미만 | 특이사항: '직장인 출신(대기업·대학교 근무)', '공인노무사 준비 경험'	비비안, 이중석, 양효주, 김기범, 신동욱	https://gosi.hackers.com/html/mmove.htm?id=exam_passnote_new&m=view&idx=35259&searchlist=&search_opt=&search_txt=&cate=&page=133
해커스 기술직 패스와 함께한 서울시 9급 기계직 합격 수기	2023년 | 서울시 | 9급 | 공업직 | 수험기간: 6개월 미만 | 특이사항: '40대', '대기업 구조조정 후 공시 전환', '육아 병행'	신민숙, 김우택, 이중석, 이선형, 피티윤	https://gosi.hackers.com/html/mmove.htm?id=exam_passnote_new&m=view&idx=36140&searchlist=&search_opt=&search_txt=&cate=&page=105
2023 교정직 노베이스 수험생의 4달 합격 수기	2023년 | 국가직 | 9급 | 교정직 | 수험기간: 6개월 미만 | 특이사항: '44세 고졸 남성', '10년 이상 공백 후 재도전', '4개월 단기합격'	신민숙, 비비안, 이중석, 김대환, 노신	https://gosi.hackers.com/html/mmove.htm?id=exam_passnote_new&m=view&idx=35425&searchlist=&search_opt=&search_txt=&cate=&page=129
2023 지방직 9급 교육행정직 맘시생 합격수기	2023년 | 지방직 | 9급 | 행정직 | 수험기간: 3년 이상 | 특이사항: '40대 맘시생', '이과 출신', '3년 만에 합격'	김송희, 김철용, 이중석, 함수민, 송상호, 이이수, 피티윤	https://gosi.hackers.com/html/mmove.htm?id=exam_passnote_new&m=view&idx=35683&searchlist=&search_opt=&search_txt=&cate=&page=122
졸업 후 10개월 합격수기	2023년 | 지방직 | 9급 | 행정직 | 수험기간: 6개월 이상~1년 미만 | 특이사항: '사범대 졸업', '군 전역 후 공시 전환', '한국사 강사 경력'	신민숙, 비비안, 이중석, 신동욱	https://gosi.hackers.com/html/mmove.htm?id=exam_passnote_new&m=view&idx=36689&searchlist=&search_opt=&search_txt=&cate=&page=93
노베이스 수강생의 평생 0원 패스 교정직 합격수기	2024년 | 국가직 | 9급 | 교정직 | 수험기간: 6개월 이상~1년 미만 | 특이사항: '실업계 출신', '전문대 졸업', '군 전역 후 공시 시작', '노베이스'	신민숙, 비비안, 이중석, 김대환, 노신, 피티윤	https://gosi.hackers.com/html/mmove.htm?id=exam_passnote_new&m=view&idx=38110&searchlist=&search_opt=&search_txt=&cate=&page=83
7급 공무원 준비도 역시 해커스입니다	2023년 | 국가직 | 7급 | 행정직 | 수험기간: 1년 이상~1년 6개월 미만 | 특이사항: '이공계 자퇴', '20대 후반 뒤늦은 시작'	조은정, 김용훈, 길규범, 김대현, 신동욱, 서현, 김종국, 피티윤	https://gosi.hackers.com/html/mmove.htm?id=exam_passnote_new&m=view&idx=36748&searchlist=&search_opt=&search_txt=&cate=&page=92
2023년 교정직 7급 합격 수기	2023년 | 국가직 | 7급 | 교정직 | 수험기간: 1년 6개월 이상~2년 미만 | 특이사항: '심리학과 전공', '재시합격'	황남기, 김대환, 노신	https://gosi.hackers.com/html/mmove.htm?id=exam_passnote_new&m=view&idx=36763&searchlist=&search_opt=&search_txt=&cate=&page=91
2023 국가직 교정 합격 후기	2023년 | 국가직 | 9급 | 교정직 | 수험기간: 6개월 이상~1년 미만 | 특이사항: '알바 병행 수험'	비비안, 신민숙, 이중석, 김대환	https://gosi.hackers.com/html/mmove.htm?id=exam_passnote_new&m=view&idx=35335&searchlist=&search_opt=&search_txt=&cate=&page=131
2년동안 해커스만 믿고 따라왔더니 합격했어요 !	2023년 | 국가직 | 9급 | 건축직 | 수험기간: 1년 6개월 이상~2년 미만 | 특이사항: '알바 병행', '재시생'	신민숙, 김송희, 비비안, 이중석	https://gosi.hackers.com/html/mmove.htm?id=exam_passnote_new&m=view&idx=36500&searchlist=&search_opt=&search_txt=&cate=&page=96
해커스 평생 0원 패스 통해 서울시 합격!	2023년 | 서울시 | 9급 | 행정직 | 수험기간: 1년 6개월 이상~2년 미만 | 특이사항: '알바 병행'	신민숙, 김철용, 이중석, 송상호, 신동욱	https://gosi.hackers.com/html/mmove.htm?id=exam_passnote_new&m=view&idx=36128&searchlist=&search_opt=&search_txt=&cate=&page=106
